,Country Name,Year,GDP_PPP
138,Sri Lanka,1960,
139,Lower middle income,1960,
140,Low & middle income,1960,
141,Lesotho,1960,
142,Late-demographic dividend,1960,
143,Lithuania,1960,
144,Luxembourg,1960,
145,Latvia,1960,
146,"Macao SAR, China",1960,
147,St. Martin (French part),1960,
148,Morocco,1960,
149,Monaco,1960,
150,Moldova,1960,
151,Madagascar,1960,
152,Maldives,1960,
153,Middle East & North Africa,1960,
154,Mexico,1960,
155,Marshall Islands,1960,
156,Middle income,1960,
157,North Macedonia,1960,
158,Mali,1960,
159,Malta,1960,
160,Myanmar,1960,
161,Middle East & North Africa (excluding high income),1960,
162,Montenegro,1960,
163,Mongolia,1960,
164,Northern Mariana Islands,1960,
165,Mozambique,1960,
166,Mauritania,1960,
167,Mauritius,1960,
168,Malawi,1960,
169,Malaysia,1960,
170,North America,1960,
171,Namibia,1960,
172,New Caledonia,1960,
173,Niger,1960,
174,Nigeria,1960,
175,Nicaragua,1960,
176,Netherlands,1960,
177,Norway,1960,
178,Nepal,1960,
179,Nauru,1960,
180,New Zealand,1960,
181,OECD members,1960,
182,Oman,1960,
183,Other small states,1960,
184,Pakistan,1960,
185,Panama,1960,
186,Peru,1960,
187,Philippines,1960,
188,Palau,1960,
189,Papua New Guinea,1960,
190,Poland,1960,
191,Pre-demographic dividend,1960,
192,Puerto Rico,1960,
193,"Korea, Dem. People's Rep.",1960,
194,Portugal,1960,
195,Paraguay,1960,
196,West Bank and Gaza,1960,
197,Pacific island small states,1960,
198,Post-demographic dividend,1960,
199,French Polynesia,1960,
200,Qatar,1960,
201,Romania,1960,
202,Russian Federation,1960,
203,Rwanda,1960,
204,South Asia,1960,
205,Saudi Arabia,1960,
206,Sudan,1960,
207,Senegal,1960,
208,Singapore,1960,
209,Solomon Islands,1960,
210,Sierra Leone,1960,
211,El Salvador,1960,
212,San Marino,1960,
213,Somalia,1960,
214,Serbia,1960,
215,Sub-Saharan Africa (excluding high income),1960,
216,South Sudan,1960,
217,Sub-Saharan Africa,1960,
218,Small states,1960,
219,Sao Tome and Principe,1960,
220,Suriname,1960,
221,Slovak Republic,1960,
222,Slovenia,1960,
223,Sweden,1960,
224,Eswatini,1960,
225,Sint Maarten (Dutch part),1960,
226,Seychelles,1960,
227,Syrian Arab Republic,1960,
228,Turks and Caicos Islands,1960,
229,Chad,1960,
230,East Asia & Pacific (IDA & IBRD countries),1960,
231,Europe & Central Asia (IDA & IBRD countries),1960,
232,Togo,1960,
233,Thailand,1960,
234,Tajikistan,1960,
235,Turkmenistan,1960,
236,Latin America & the Caribbean (IDA & IBRD countries),1960,
237,Timor-Leste,1960,
238,Middle East & North Africa (IDA & IBRD countries),1960,
239,Tonga,1960,
240,South Asia (IDA & IBRD),1960,
241,Sub-Saharan Africa (IDA & IBRD countries),1960,
242,Trinidad and Tobago,1960,
243,Tunisia,1960,
244,Turkey,1960,
245,Tuvalu,1960,
246,Tanzania,1960,
247,Uganda,1960,
248,Ukraine,1960,
249,Upper middle income,1960,
250,Uruguay,1960,
251,United States,1960,
252,Uzbekistan,1960,
253,St. Vincent and the Grenadines,1960,
254,"Venezuela, RB",1960,
255,British Virgin Islands,1960,
256,Virgin Islands (U.S.),1960,
257,Vietnam,1960,
258,Vanuatu,1960,
259,World,1960,
260,Samoa,1960,
261,Kosovo,1960,
262,"Yemen, Rep.",1960,
263,South Africa,1960,
264,Zambia,1960,
265,Zimbabwe,1960,
266,Aruba,1961,
267,Africa Eastern and Southern,1961,
268,Afghanistan,1961,
269,Africa Western and Central,1961,
270,Angola,1961,
271,Albania,1961,
272,Andorra,1961,
273,Arab World,1961,
274,United Arab Emirates,1961,
275,Argentina,1961,
276,Armenia,1961,
277,American Samoa,1961,
278,Antigua and Barbuda,1961,
279,Australia,1961,
280,Austria,1961,
281,Azerbaijan,1961,
282,Burundi,1961,
283,Belgium,1961,
284,Benin,1961,
285,Burkina Faso,1961,
286,Bangladesh,1961,
287,Bulgaria,1961,
288,Bahrain,1961,
289,"Bahamas, The",1961,
290,Bosnia and Herzegovina,1961,
291,Belarus,1961,
292,Belize,1961,
293,Bermuda,1961,
294,Bolivia,1961,
295,Brazil,1961,
296,Barbados,1961,
297,Brunei Darussalam,1961,
298,Bhutan,1961,
299,Botswana,1961,
300,Central African Republic,1961,
301,Canada,1961,
302,Central Europe and the Baltics,1961,
303,Switzerland,1961,
304,Channel Islands,1961,
305,Chile,1961,
306,China,1961,
307,Cote d'Ivoire,1961,
308,Cameroon,1961,
309,"Congo, Dem. Rep.",1961,
310,"Congo, Rep.",1961,
311,Colombia,1961,
312,Comoros,1961,
313,Cabo Verde,1961,
314,Costa Rica,1961,
315,Caribbean small states,1961,
316,Cuba,1961,
317,Curacao,1961,
318,Cayman Islands,1961,
319,Cyprus,1961,
320,Czech Republic,1961,
321,Germany,1961,
322,Djibouti,1961,
323,Dominica,1961,
324,Denmark,1961,
325,Dominican Republic,1961,
326,Algeria,1961,
327,East Asia & Pacific (excluding high income),1961,
328,Early-demographic dividend,1961,
329,East Asia & Pacific,1961,
330,Europe & Central Asia (excluding high income),1961,
331,Europe & Central Asia,1961,
332,Ecuador,1961,
333,"Egypt, Arab Rep.",1961,
334,Euro area,1961,
335,Eritrea,1961,
336,Spain,1961,
337,Estonia,1961,
338,Ethiopia,1961,
339,European Union,1961,
340,Fragile and conflict affected situations,1961,
341,Finland,1961,
342,Fiji,1961,
343,France,1961,
344,Faroe Islands,1961,
345,"Micronesia, Fed. Sts.",1961,
346,Gabon,1961,
347,United Kingdom,1961,
348,Georgia,1961,
349,Ghana,1961,
350,Gibraltar,1961,
351,Guinea,1961,
352,"Gambia, The",1961,
353,Guinea-Bissau,1961,
354,Equatorial Guinea,1961,
355,Greece,1961,
356,Grenada,1961,
357,Greenland,1961,
358,Guatemala,1961,
359,Guam,1961,
360,Guyana,1961,
361,High income,1961,
362,"Hong Kong SAR, China",1961,
363,Honduras,1961,
364,Heavily indebted poor countries (HIPC),1961,
365,Croatia,1961,
366,Haiti,1961,
367,Hungary,1961,
368,IBRD only,1961,
369,IDA & IBRD total,1961,
370,IDA total,1961,
371,IDA blend,1961,
372,Indonesia,1961,
373,IDA only,1961,
374,Isle of Man,1961,
375,India,1961,
376,Not classified,1961,
377,Ireland,1961,
378,"Iran, Islamic Rep.",1961,
379,Iraq,1961,
380,Iceland,1961,
381,Israel,1961,
382,Italy,1961,
383,Jamaica,1961,
384,Jordan,1961,
385,Japan,1961,
386,Kazakhstan,1961,
387,Kenya,1961,
388,Kyrgyz Republic,1961,
389,Cambodia,1961,
390,Kiribati,1961,
391,St. Kitts and Nevis,1961,
392,"Korea, Rep.",1961,
393,Kuwait,1961,
394,Latin America & Caribbean (excluding high income),1961,
395,Lao PDR,1961,
396,Lebanon,1961,
397,Liberia,1961,
398,Libya,1961,
399,St. Lucia,1961,
400,Latin America & Caribbean,1961,
401,Least developed countries: UN classification,1961,
402,Low income,1961,
403,Liechtenstein,1961,
404,Sri Lanka,1961,
405,Lower middle income,1961,
406,Low & middle income,1961,
407,Lesotho,1961,
408,Late-demographic dividend,1961,
409,Lithuania,1961,
410,Luxembourg,1961,
411,Latvia,1961,
412,"Macao SAR, China",1961,
413,St. Martin (French part),1961,
414,Morocco,1961,
415,Monaco,1961,
416,Moldova,1961,
417,Madagascar,1961,
418,Maldives,1961,
419,Middle East & North Africa,1961,
420,Mexico,1961,
421,Marshall Islands,1961,
422,Middle income,1961,
423,North Macedonia,1961,
424,Mali,1961,
425,Malta,1961,
426,Myanmar,1961,
427,Middle East & North Africa (excluding high income),1961,
428,Montenegro,1961,
429,Mongolia,1961,
430,Northern Mariana Islands,1961,
431,Mozambique,1961,
432,Mauritania,1961,
433,Mauritius,1961,
434,Malawi,1961,
435,Malaysia,1961,
436,North America,1961,
437,Namibia,1961,
438,New Caledonia,1961,
439,Niger,1961,
440,Nigeria,1961,
441,Nicaragua,1961,
442,Netherlands,1961,
443,Norway,1961,
444,Nepal,1961,
445,Nauru,1961,
446,New Zealand,1961,
447,OECD members,1961,
448,Oman,1961,
449,Other small states,1961,
450,Pakistan,1961,
451,Panama,1961,
452,Peru,1961,
453,Philippines,1961,
454,Palau,1961,
455,Papua New Guinea,1961,
456,Poland,1961,
457,Pre-demographic dividend,1961,
458,Puerto Rico,1961,
459,"Korea, Dem. People's Rep.",1961,
460,Portugal,1961,
461,Paraguay,1961,
462,West Bank and Gaza,1961,
463,Pacific island small states,1961,
464,Post-demographic dividend,1961,
465,French Polynesia,1961,
466,Qatar,1961,
467,Romania,1961,
468,Russian Federation,1961,
469,Rwanda,1961,
470,South Asia,1961,
471,Saudi Arabia,1961,
472,Sudan,1961,
473,Senegal,1961,
474,Singapore,1961,
475,Solomon Islands,1961,
476,Sierra Leone,1961,
477,El Salvador,1961,
478,San Marino,1961,
479,Somalia,1961,
480,Serbia,1961,
481,Sub-Saharan Africa (excluding high income),1961,
482,South Sudan,1961,
483,Sub-Saharan Africa,1961,
484,Small states,1961,
485,Sao Tome and Principe,1961,
486,Suriname,1961,
487,Slovak Republic,1961,
488,Slovenia,1961,
489,Sweden,1961,
490,Eswatini,1961,
491,Sint Maarten (Dutch part),1961,
492,Seychelles,1961,
493,Syrian Arab Republic,1961,
494,Turks and Caicos Islands,1961,
495,Chad,1961,
496,East Asia & Pacific (IDA & IBRD countries),1961,
497,Europe & Central Asia (IDA & IBRD countries),1961,
498,Togo,1961,
499,Thailand,1961,
500,Tajikistan,1961,
501,Turkmenistan,1961,
502,Latin America & the Caribbean (IDA & IBRD countries),1961,
503,Timor-Leste,1961,
504,Middle East & North Africa (IDA & IBRD countries),1961,
505,Tonga,1961,
506,South Asia (IDA & IBRD),1961,
507,Sub-Saharan Africa (IDA & IBRD countries),1961,
508,Trinidad and Tobago,1961,
509,Tunisia,1961,
510,Turkey,1961,
511,Tuvalu,1961,
512,Tanzania,1961,
513,Uganda,1961,
514,Ukraine,1961,
515,Upper middle income,1961,
516,Uruguay,1961,
517,United States,1961,
518,Uzbekistan,1961,
519,St. Vincent and the Grenadines,1961,
520,"Venezuela, RB",1961,
521,British Virgin Islands,1961,
522,Virgin Islands (U.S.),1961,
523,Vietnam,1961,
524,Vanuatu,1961,
525,World,1961,
526,Samoa,1961,
527,Kosovo,1961,
528,"Yemen, Rep.",1961,
529,South Africa,1961,
530,Zambia,1961,
531,Zimbabwe,1961,
532,Aruba,1962,
533,Africa Eastern and Southern,1962,
534,Afghanistan,1962,
535,Africa Western and Central,1962,
536,Angola,1962,
537,Albania,1962,
538,Andorra,1962,
539,Arab World,1962,
540,United Arab Emirates,1962,
541,Argentina,1962,
542,Armenia,1962,
543,American Samoa,1962,
544,Antigua and Barbuda,1962,
545,Australia,1962,
546,Austria,1962,
547,Azerbaijan,1962,
548,Burundi,1962,
549,Belgium,1962,
550,Benin,1962,
551,Burkina Faso,1962,
552,Bangladesh,1962,
553,Bulgaria,1962,
554,Bahrain,1962,
555,"Bahamas, The",1962,
556,Bosnia and Herzegovina,1962,
557,Belarus,1962,
558,Belize,1962,
559,Bermuda,1962,
560,Bolivia,1962,
561,Brazil,1962,
562,Barbados,1962,
563,Brunei Darussalam,1962,
564,Bhutan,1962,
565,Botswana,1962,
566,Central African Republic,1962,
567,Canada,1962,
568,Central Europe and the Baltics,1962,
569,Switzerland,1962,
570,Channel Islands,1962,
571,Chile,1962,
572,China,1962,
573,Cote d'Ivoire,1962,
574,Cameroon,1962,
575,"Congo, Dem. Rep.",1962,
576,"Congo, Rep.",1962,
577,Colombia,1962,
578,Comoros,1962,
579,Cabo Verde,1962,
580,Costa Rica,1962,
581,Caribbean small states,1962,
582,Cuba,1962,
583,Curacao,1962,
584,Cayman Islands,1962,
585,Cyprus,1962,
586,Czech Republic,1962,
587,Germany,1962,
588,Djibouti,1962,
589,Dominica,1962,
590,Denmark,1962,
591,Dominican Republic,1962,
592,Algeria,1962,
593,East Asia & Pacific (excluding high income),1962,
594,Early-demographic dividend,1962,
595,East Asia & Pacific,1962,
596,Europe & Central Asia (excluding high income),1962,
597,Europe & Central Asia,1962,
598,Ecuador,1962,
599,"Egypt, Arab Rep.",1962,
600,Euro area,1962,
601,Eritrea,1962,
602,Spain,1962,
603,Estonia,1962,
604,Ethiopia,1962,
605,European Union,1962,
606,Fragile and conflict affected situations,1962,
607,Finland,1962,
608,Fiji,1962,
609,France,1962,
610,Faroe Islands,1962,
611,"Micronesia, Fed. Sts.",1962,
612,Gabon,1962,
613,United Kingdom,1962,
614,Georgia,1962,
615,Ghana,1962,
616,Gibraltar,1962,
617,Guinea,1962,
618,"Gambia, The",1962,
619,Guinea-Bissau,1962,
620,Equatorial Guinea,1962,
621,Greece,1962,
622,Grenada,1962,
623,Greenland,1962,
624,Guatemala,1962,
625,Guam,1962,
626,Guyana,1962,
627,High income,1962,
628,"Hong Kong SAR, China",1962,
629,Honduras,1962,
630,Heavily indebted poor countries (HIPC),1962,
631,Croatia,1962,
632,Haiti,1962,
633,Hungary,1962,
634,IBRD only,1962,
635,IDA & IBRD total,1962,
636,IDA total,1962,
637,IDA blend,1962,
638,Indonesia,1962,
639,IDA only,1962,
640,Isle of Man,1962,
641,India,1962,
642,Not classified,1962,
643,Ireland,1962,
644,"Iran, Islamic Rep.",1962,
645,Iraq,1962,
646,Iceland,1962,
647,Israel,1962,
648,Italy,1962,
649,Jamaica,1962,
650,Jordan,1962,
651,Japan,1962,
652,Kazakhstan,1962,
653,Kenya,1962,
654,Kyrgyz Republic,1962,
655,Cambodia,1962,
656,Kiribati,1962,
657,St. Kitts and Nevis,1962,
658,"Korea, Rep.",1962,
659,Kuwait,1962,
660,Latin America & Caribbean (excluding high income),1962,
661,Lao PDR,1962,
662,Lebanon,1962,
663,Liberia,1962,
664,Libya,1962,
665,St. Lucia,1962,
666,Latin America & Caribbean,1962,
667,Least developed countries: UN classification,1962,
668,Low income,1962,
669,Liechtenstein,1962,
670,Sri Lanka,1962,
671,Lower middle income,1962,
672,Low & middle income,1962,
673,Lesotho,1962,
674,Late-demographic dividend,1962,
675,Lithuania,1962,
676,Luxembourg,1962,
677,Latvia,1962,
678,"Macao SAR, China",1962,
679,St. Martin (French part),1962,
680,Morocco,1962,
681,Monaco,1962,
682,Moldova,1962,
683,Madagascar,1962,
684,Maldives,1962,
685,Middle East & North Africa,1962,
686,Mexico,1962,
687,Marshall Islands,1962,
688,Middle income,1962,
689,North Macedonia,1962,
690,Mali,1962,
691,Malta,1962,
692,Myanmar,1962,
693,Middle East & North Africa (excluding high income),1962,
694,Montenegro,1962,
695,Mongolia,1962,
696,Northern Mariana Islands,1962,
697,Mozambique,1962,
698,Mauritania,1962,
699,Mauritius,1962,
700,Malawi,1962,
701,Malaysia,1962,
702,North America,1962,
703,Namibia,1962,
704,New Caledonia,1962,
705,Niger,1962,
706,Nigeria,1962,
707,Nicaragua,1962,
708,Netherlands,1962,
709,Norway,1962,
710,Nepal,1962,
711,Nauru,1962,
712,New Zealand,1962,
713,OECD members,1962,
714,Oman,1962,
715,Other small states,1962,
716,Pakistan,1962,
717,Panama,1962,
718,Peru,1962,
719,Philippines,1962,
720,Palau,1962,
721,Papua New Guinea,1962,
722,Poland,1962,
723,Pre-demographic dividend,1962,
724,Puerto Rico,1962,
725,"Korea, Dem. People's Rep.",1962,
726,Portugal,1962,
727,Paraguay,1962,
728,West Bank and Gaza,1962,
729,Pacific island small states,1962,
730,Post-demographic dividend,1962,
731,French Polynesia,1962,
732,Qatar,1962,
733,Romania,1962,
734,Russian Federation,1962,
735,Rwanda,1962,
736,South Asia,1962,
737,Saudi Arabia,1962,
738,Sudan,1962,
739,Senegal,1962,
740,Singapore,1962,
741,Solomon Islands,1962,
742,Sierra Leone,1962,
743,El Salvador,1962,
744,San Marino,1962,
745,Somalia,1962,
746,Serbia,1962,
747,Sub-Saharan Africa (excluding high income),1962,
748,South Sudan,1962,
749,Sub-Saharan Africa,1962,
750,Small states,1962,
751,Sao Tome and Principe,1962,
752,Suriname,1962,
753,Slovak Republic,1962,
754,Slovenia,1962,
755,Sweden,1962,
756,Eswatini,1962,
757,Sint Maarten (Dutch part),1962,
758,Seychelles,1962,
759,Syrian Arab Republic,1962,
760,Turks and Caicos Islands,1962,
761,Chad,1962,
762,East Asia & Pacific (IDA & IBRD countries),1962,
763,Europe & Central Asia (IDA & IBRD countries),1962,
764,Togo,1962,
765,Thailand,1962,
766,Tajikistan,1962,
767,Turkmenistan,1962,
768,Latin America & the Caribbean (IDA & IBRD countries),1962,
769,Timor-Leste,1962,
770,Middle East & North Africa (IDA & IBRD countries),1962,
771,Tonga,1962,
772,South Asia (IDA & IBRD),1962,
773,Sub-Saharan Africa (IDA & IBRD countries),1962,
774,Trinidad and Tobago,1962,
775,Tunisia,1962,
776,Turkey,1962,
777,Tuvalu,1962,
778,Tanzania,1962,
779,Uganda,1962,
780,Ukraine,1962,
781,Upper middle income,1962,
782,Uruguay,1962,
783,United States,1962,
784,Uzbekistan,1962,
785,St. Vincent and the Grenadines,1962,
786,"Venezuela, RB",1962,
787,British Virgin Islands,1962,
788,Virgin Islands (U.S.),1962,
789,Vietnam,1962,
790,Vanuatu,1962,
791,World,1962,
792,Samoa,1962,
793,Kosovo,1962,
794,"Yemen, Rep.",1962,
795,South Africa,1962,
796,Zambia,1962,
797,Zimbabwe,1962,
798,Aruba,1963,
799,Africa Eastern and Southern,1963,
800,Afghanistan,1963,
801,Africa Western and Central,1963,
802,Angola,1963,
803,Albania,1963,
804,Andorra,1963,
805,Arab World,1963,
806,United Arab Emirates,1963,
807,Argentina,1963,
808,Armenia,1963,
809,American Samoa,1963,
810,Antigua and Barbuda,1963,
811,Australia,1963,
812,Austria,1963,
813,Azerbaijan,1963,
814,Burundi,1963,
815,Belgium,1963,
816,Benin,1963,
817,Burkina Faso,1963,
818,Bangladesh,1963,
819,Bulgaria,1963,
820,Bahrain,1963,
821,"Bahamas, The",1963,
822,Bosnia and Herzegovina,1963,
823,Belarus,1963,
824,Belize,1963,
825,Bermuda,1963,
826,Bolivia,1963,
827,Brazil,1963,
828,Barbados,1963,
829,Brunei Darussalam,1963,
830,Bhutan,1963,
831,Botswana,1963,
832,Central African Republic,1963,
833,Canada,1963,
834,Central Europe and the Baltics,1963,
835,Switzerland,1963,
836,Channel Islands,1963,
837,Chile,1963,
838,China,1963,
839,Cote d'Ivoire,1963,
840,Cameroon,1963,
841,"Congo, Dem. Rep.",1963,
842,"Congo, Rep.",1963,
843,Colombia,1963,
844,Comoros,1963,
845,Cabo Verde,1963,
846,Costa Rica,1963,
847,Caribbean small states,1963,
848,Cuba,1963,
849,Curacao,1963,
850,Cayman Islands,1963,
851,Cyprus,1963,
852,Czech Republic,1963,
853,Germany,1963,
854,Djibouti,1963,
855,Dominica,1963,
856,Denmark,1963,
857,Dominican Republic,1963,
858,Algeria,1963,
859,East Asia & Pacific (excluding high income),1963,
860,Early-demographic dividend,1963,
861,East Asia & Pacific,1963,
862,Europe & Central Asia (excluding high income),1963,
863,Europe & Central Asia,1963,
864,Ecuador,1963,
865,"Egypt, Arab Rep.",1963,
866,Euro area,1963,
867,Eritrea,1963,
868,Spain,1963,
869,Estonia,1963,
870,Ethiopia,1963,
871,European Union,1963,
872,Fragile and conflict affected situations,1963,
873,Finland,1963,
874,Fiji,1963,
875,France,1963,
876,Faroe Islands,1963,
877,"Micronesia, Fed. Sts.",1963,
878,Gabon,1963,
879,United Kingdom,1963,
880,Georgia,1963,
881,Ghana,1963,
882,Gibraltar,1963,
883,Guinea,1963,
884,"Gambia, The",1963,
885,Guinea-Bissau,1963,
886,Equatorial Guinea,1963,
887,Greece,1963,
888,Grenada,1963,
889,Greenland,1963,
890,Guatemala,1963,
891,Guam,1963,
892,Guyana,1963,
893,High income,1963,
894,"Hong Kong SAR, China",1963,
895,Honduras,1963,
896,Heavily indebted poor countries (HIPC),1963,
897,Croatia,1963,
898,Haiti,1963,
899,Hungary,1963,
900,IBRD only,1963,
901,IDA & IBRD total,1963,
902,IDA total,1963,
903,IDA blend,1963,
904,Indonesia,1963,
905,IDA only,1963,
906,Isle of Man,1963,
907,India,1963,
908,Not classified,1963,
909,Ireland,1963,
910,"Iran, Islamic Rep.",1963,
911,Iraq,1963,
912,Iceland,1963,
913,Israel,1963,
914,Italy,1963,
915,Jamaica,1963,
916,Jordan,1963,
917,Japan,1963,
918,Kazakhstan,1963,
919,Kenya,1963,
920,Kyrgyz Republic,1963,
921,Cambodia,1963,
922,Kiribati,1963,
923,St. Kitts and Nevis,1963,
924,"Korea, Rep.",1963,
925,Kuwait,1963,
926,Latin America & Caribbean (excluding high income),1963,
927,Lao PDR,1963,
928,Lebanon,1963,
929,Liberia,1963,
930,Libya,1963,
931,St. Lucia,1963,
932,Latin America & Caribbean,1963,
933,Least developed countries: UN classification,1963,
934,Low income,1963,
935,Liechtenstein,1963,
936,Sri Lanka,1963,
937,Lower middle income,1963,
938,Low & middle income,1963,
939,Lesotho,1963,
940,Late-demographic dividend,1963,
941,Lithuania,1963,
942,Luxembourg,1963,
943,Latvia,1963,
944,"Macao SAR, China",1963,
945,St. Martin (French part),1963,
946,Morocco,1963,
947,Monaco,1963,
948,Moldova,1963,
949,Madagascar,1963,
950,Maldives,1963,
951,Middle East & North Africa,1963,
952,Mexico,1963,
953,Marshall Islands,1963,
954,Middle income,1963,
955,North Macedonia,1963,
956,Mali,1963,
957,Malta,1963,
958,Myanmar,1963,
959,Middle East & North Africa (excluding high income),1963,
960,Montenegro,1963,
961,Mongolia,1963,
962,Northern Mariana Islands,1963,
963,Mozambique,1963,
964,Mauritania,1963,
965,Mauritius,1963,
966,Malawi,1963,
967,Malaysia,1963,
968,North America,1963,
969,Namibia,1963,
970,New Caledonia,1963,
971,Niger,1963,
972,Nigeria,1963,
973,Nicaragua,1963,
974,Netherlands,1963,
975,Norway,1963,
976,Nepal,1963,
977,Nauru,1963,
978,New Zealand,1963,
979,OECD members,1963,
980,Oman,1963,
981,Other small states,1963,
982,Pakistan,1963,
983,Panama,1963,
984,Peru,1963,
985,Philippines,1963,
986,Palau,1963,
987,Papua New Guinea,1963,
988,Poland,1963,
989,Pre-demographic dividend,1963,
990,Puerto Rico,1963,
991,"Korea, Dem. People's Rep.",1963,
992,Portugal,1963,
993,Paraguay,1963,
994,West Bank and Gaza,1963,
995,Pacific island small states,1963,
996,Post-demographic dividend,1963,
997,French Polynesia,1963,
998,Qatar,1963,
999,Romania,1963,
1000,Russian Federation,1963,
1001,Rwanda,1963,
1002,South Asia,1963,
1003,Saudi Arabia,1963,
1004,Sudan,1963,
1005,Senegal,1963,
1006,Singapore,1963,
1007,Solomon Islands,1963,
1008,Sierra Leone,1963,
1009,El Salvador,1963,
1010,San Marino,1963,
1011,Somalia,1963,
1012,Serbia,1963,
1013,Sub-Saharan Africa (excluding high income),1963,
1014,South Sudan,1963,
1015,Sub-Saharan Africa,1963,
1016,Small states,1963,
1017,Sao Tome and Principe,1963,
1018,Suriname,1963,
1019,Slovak Republic,1963,
1020,Slovenia,1963,
1021,Sweden,1963,
1022,Eswatini,1963,
1023,Sint Maarten (Dutch part),1963,
1024,Seychelles,1963,
1025,Syrian Arab Republic,1963,
1026,Turks and Caicos Islands,1963,
1027,Chad,1963,
1028,East Asia & Pacific (IDA & IBRD countries),1963,
1029,Europe & Central Asia (IDA & IBRD countries),1963,
1030,Togo,1963,
1031,Thailand,1963,
1032,Tajikistan,1963,
1033,Turkmenistan,1963,
1034,Latin America & the Caribbean (IDA & IBRD countries),1963,
1035,Timor-Leste,1963,
1036,Middle East & North Africa (IDA & IBRD countries),1963,
1037,Tonga,1963,
1038,South Asia (IDA & IBRD),1963,
1039,Sub-Saharan Africa (IDA & IBRD countries),1963,
1040,Trinidad and Tobago,1963,
1041,Tunisia,1963,
1042,Turkey,1963,
1043,Tuvalu,1963,
1044,Tanzania,1963,
1045,Uganda,1963,
1046,Ukraine,1963,
1047,Upper middle income,1963,
1048,Uruguay,1963,
1049,United States,1963,
1050,Uzbekistan,1963,
1051,St. Vincent and the Grenadines,1963,
1052,"Venezuela, RB",1963,
1053,British Virgin Islands,1963,
1054,Virgin Islands (U.S.),1963,
