location_code,location_name_short_en,world_region
SDN,Sudan,Africa
SEN,Senegal,Africa
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa
SLE,Sierra Leone,Africa
SOM,Somalia,Africa
SSD,South Sudan,Africa
STP,Sao Tome and Principe,Africa
SWZ,Eswatini,Africa
SYC,Seychelles,Africa
TCD,Chad,Africa
TGO,Togo,Africa
TUN,Tunisia,Africa
TZA,Tanzania,Africa
UGA,Uganda,Africa
ZAF,South Africa,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
ALB,Albania,Europe
AND,Andorra,Europe
AUT,Austria,Europe
BEL,Belgium,Europe
BGR,Bulgaria,Europe
BIH,Bosnia and Herzegovina,Europe
BLR,Belarus,Europe
CHE,Switzerland,Europe
CSK,Czechoslovakia,Europe
CZE,Czech Republic,Europe
DDR,Fmr Dem. Rep. of Germany,Europe
DEU,Germany,Europe
DNK,Denmark,Europe
ESP,Spain,Europe
EST,Estonia,Europe
FIN,Finland,Europe
FRA,France,Europe
FRO,Faroe Islands,Europe
GBR,United Kingdom,Europe
GIB,Gibraltar,Europe
GRC,Greece,Europe
HRV,Croatia,Europe
HUN,Hungary,Europe
IRL,Ireland,Europe
ISL,Iceland,Europe
ITA,Italy,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
LVA,Latvia,Europe
MDA,Moldova,Europe
MKD,North Macedonia,Europe
MLT,Malta,Europe
MNE,Montenegro,Europe
NLD,Netherlands,Europe
NOR,Norway,Europe
POL,Poland,Europe
PRT,Portugal,Europe
ROU,Romania,Europe
RUS,Russian Federation,Europe
SCG,Serbia and Montenegro,Europe
SMR,San Marino,Europe
SRB,Serbia,Europe
SUN,Former USSR,Europe
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SWE,Sweden,Europe
UKR,Ukraine,Europe
VAT,Vatican City,Europe
YUG,Yugoslavia,Europe
ARG,Argentina,South America
BES,Bonaire,South America
BOL,Bolivia,South America
BRA,Brazil,South America
CHL,Chile,South America
COL,Colombia,South America
ECU,Ecuador,South America
GUF,French Guiana,South America
GUY,Guyana,South America
PER,Peru,South America
PRY,Paraguay,South America
SUR,Suriname,South America
URY,Uruguay,South America
VEN,Venezuela,South America
ASM,American Samoa,Other
ATA,Antarctica,Other
ATF,French Southern and Antarctic Lands,Other
BVT,Bouvet Island,Other
HMD,Heard and McDonald Islands,Other
IOT,British Indian Ocean Territory,Other
SGS,South Georgia and South Sandwich Islds.,Other
UMI,United States Minor Outlying Islands,Other
ANS,Undeclared Countries,Other
AUS,Australia,Oceania
CCK,Cocos (Keeling) Islands,Oceania
COK,Cook Islands,Oceania
CXR,Christmas Island,Oceania
FJI,Fiji,Oceania
FSM,Micronesia,Oceania
GUM,Guam,Oceania
KIR,Kiribati,Oceania
MHL,Marshall Islands,Oceania
MNP,Northern Mariana Islands,Oceania
NCL,New Caledonia,Oceania
NFK,Norfolk Island,Oceania
NIU,Niue,Oceania
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
PCI,Fmr. Pacific Islands,Oceania
PCN,Pitcairn,Oceania
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
PYF,French Polynesia,Oceania
SLB,Solomon Islands,Oceania
TKL,Tokelau,Oceania
TON,Tonga,Oceania
TUV,Tuvalu,Oceania
VUT,Vanuatu,Oceania
WLF,Wallis and Futuna,Oceania
WSM,Samoa,Oceania
